mm_id,BSEID,NSEID,Industry,Mojo,Name,financial,quality,technical,valuation
643071,505537,ZEEL,TV Broadcasting & Software,Sell,Zee Entertainment,Negative,Good,Negative,Attractive
758477,532733,SUNTV,TV Broadcasting & Software,Sell,Sun TV Network,Flat,Good,Flat,Attractive
785617,532800,TV18BRDCST,TV Broadcasting & Software,Strong Sell,TV18 Broadcast,Positive,Below Average,Positive,Expensive
380908,532798,NETWORK18,TV Broadcasting & Software,Strong Sell,Network 18 Media Inv,Positive,Below Average,Positive,Very Expensive
743220,532515,TVTODAY,TV Broadcasting & Software,Sell,TV Today Network,Flat,Good,Flat,Attractive
446736,532700,ENIL,TV Broadcasting & Software,Strong Sell,Entertain. Network,Very Negative,Average,Very Negative,Expensive
1002775,540602,GTPL,TV Broadcasting & Software,Hold,GTPL Hathway,Outstanding,Good,Outstanding,Very Attractive
1002726,540366,RADIOCITY,TV Broadcasting & Software,Strong Sell,Music Broadcast,Negative,Average,Negative,Expensive
298128,532382,BALAJITELE,TV Broadcasting & Software,Strong Sell,Balaji Telefilms,Very Positive,Below Average,Very Positive,Risky
1002683,540151,0,TV Broadcasting & Software,Not Rated,Diksat Transworld,,Below Average,,Risky
797974,532794,ZEEMEDIA,TV Broadcasting & Software,Sell,Zee Media Corpn.,Negative,Average,Negative,Very Attractive
895687,532826,RAJTV,TV Broadcasting & Software,Strong Sell,Raj TV Network,Negative,Below Average,Negative,Fair
636797,532529,NDTV,TV Broadcasting & Software,Sell,New Delhi Television,Positive,Below Average,Positive,Very Attractive
231964,532507,BAGFILMS,TV Broadcasting & Software,Not Rated,BAG Films & Media,Negative,Does not qualify,Negative,Does not qualify
348684,540023,0,TV Broadcasting & Software,Not Rated,Colorchips New Media,Flat,Does not qualify,Flat,Does not qualify
162087,532011,0,TV Broadcasting & Software,Not Rated,Pooja Entertainment,Flat,Does not qualify,Flat,Does not qualify
1002912,540821,0,TV Broadcasting & Software,Not Rated,Sadhna Broadcast,Negative,Does not qualify,Negative,Does not qualify
253843,509073,0,TV Broadcasting & Software,Sell,HathwayBhawani Cable,Positive,Below Average,Positive,Does not qualify
466008,521062,0,TV Broadcasting & Software,Not Rated,Perfect-Octave Media,Flat,Does not qualify,Flat,Does not qualify
511138,540083,TVVISION,TV Broadcasting & Software,Not Rated,TV Vision,Negative,Does not qualify,Negative,Does not qualify
852446,533268,0,TV Broadcasting & Software,Strong Sell,Sea TV Network,Flat,Below Average,Flat,Does not qualify
469703,530943,SABTN,TV Broadcasting & Software,Strong Sell,Sri Adhikari Brother,Flat,Below Average,Flat,Does not qualify
813732,539015,ORTEL,TV Broadcasting & Software,Not Rated,Ortel Communications,,Below Average,,Does not qualify
195849,532392,CREATIVEYE,TV Broadcasting & Software,Not Rated,Creative Eye,Flat,Does not qualify,Flat,Does not qualify
225430,532033,JAINSTUDIO,TV Broadcasting & Software,Not Rated,Jain Studios,Flat,Does not qualify,Flat,Does not qualify
432388,590126,0,TV Broadcasting & Software,Strong Sell,Gradiente Infotain,Flat,Below Average,Flat,Does not qualify
178295,532350,PADMALAYAT,TV Broadcasting & Software,Not Rated,Padmalaya Telefilms,Flat,Does not qualify,Flat,Does not qualify
529084,532324,CINEVISTA,TV Broadcasting & Software,Not Rated,Cinevista,Negative,Does not qualify,Negative,Does not qualify
1003384,532111,,TV Broadcasting & Software Production,,Sharpline Broadc,,Does not qualify,,Does not qualify
685105,500411,THERMAX,Engg - Industrial Equipments,Sell,Thermax,Flat,Good,Flat,Expensive
608125,500048,BEML,Engg - Industrial Equipments,Strong Sell,BEML,Negative,Average,Negative,Expensive
937608,533033,SARASIND,Engg - Industrial Equipments,Sell,ISGEC Heavy Engg.,Positive,Good,Positive,Expensive
793138,502865,FORBESGOK,Engg - Industrial Equipments,Strong Sell,Forbes & Company,Very Negative,Below Average,Very Negative,Expensive
107182,522205,PRAJIND,Engg - Industrial Equipments,Sell,Praj Industries,Flat,Average,Flat,Very Attractive
